"panel","strain","chr","from","to"
"AXB","AXB.13","3",30328828,30447825
"AXB","AXB.13","3",50960940,52297587
"AXB","AXB.13","4",54777452,54780113
"AXB","AXB.13","4",114723552,115200054
"AXB","AXB.13","5",58007016,58081530
"AXB","AXB.13","5",60668404,60791561
"AXB","AXB.13","5",125204680,125266383
"AXB","AXB.13","5",145200278,145209962
"AXB","AXB.13","5",147449822,147521153
"AXB","AXB.13","5",148112452,148158125
"AXB","AXB.13","9",33223231,33315153
"AXB","AXB.13","9",99853492,99862472
"AXB","AXB.13","9",120277192,120606792
"AXB","AXB.13","X",108635590,108754892
"AXB","AXB.15","1",141134357,141141430
"AXB","AXB.15","1",186829616,186856624
"AXB","AXB.15","10",27145236,28677523
"AXB","AXB.15","10",66730215,67348211
"AXB","AXB.15","10",85107563,85660162
"AXB","AXB.15","10",86050297,86407574
"AXB","AXB.15","10",87003996,87152926
"AXB","AXB.15","10",98511044,101861742
"AXB","AXB.15","11",55075520,55207958
"AXB","AXB.15","11",91891600,93019808
"AXB","AXB.15","11",116182922,116214869
"AXB","AXB.15","11",116889359,117023348
"AXB","AXB.15","13",111233333,111267521
"AXB","AXB.15","15",76453390,76477212
"AXB","AXB.15","16",15522963,20498908
"AXB","AXB.15","17",37278023,41174120
"AXB","AXB.15","17",50827925,50872669
"AXB","AXB.15","17",67288765,67343395
"AXB","AXB.15","18",33928901,33976141
"AXB","AXB.15","18",65286505,65289467
"AXB","AXB.15","19",34484520,34724827
"AXB","AXB.15","2",3101057,4169709
"AXB","AXB.15","2",10314631,13357844
"AXB","AXB.15","3",110728911,110807280
"AXB","AXB.15","4",41664426,42914829
"AXB","AXB.15","4",149000561,149077244
"AXB","AXB.15","4",149260805,149286671
"AXB","AXB.15","5",14324879,20266752
"AXB","AXB.15","5",22349753,24085810
"AXB","AXB.15","5",45679421,45729525
"AXB","AXB.15","5",130823944,132237205
"AXB","AXB.15","6",17510414,17614532
"AXB","AXB.15","6",22155197,23271585
"AXB","AXB.15","6",38804827,43391620
"AXB","AXB.15","6",111083889,111250224
"AXB","AXB.15","7",89108828,89127162
"AXB","AXB.15","7",129760419,129809723
"AXB","AXB.15","9",13421851,14675784
"AXB","AXB.15","9",80675515,80694501
"AXB","AXB.15","9",103523170,103527797
"AXB","AXB.15","9",120277192,120606792
"AXB","AXB.18","1",46093778,46197273
"AXB","AXB.18","1",195830530,195869597
"AXB","AXB.18","10",42427607,43717116
"AXB","AXB.18","10",47370541,57191367
"AXB","AXB.18","10",66730215,67348211
"AXB","AXB.18","10",82497513,82970868
"AXB","AXB.18","10",120019633,120025352
"AXB","AXB.18","11",64157597,64204040
"AXB","AXB.18","11",67158685,67465623
"AXB","AXB.18","11",89841835,89897073
"AXB","AXB.18","11",106192980,106549473
"AXB","AXB.18","11",114489871,114531767
"AXB","AXB.18","12",59387438,59424953
"AXB","AXB.18","13",106914590,106962709
"AXB","AXB.18","13",107715613,108329330
"AXB","AXB.18","14",94567975,94625128
"AXB","AXB.18","14",100024418,100041603
"AXB","AXB.18","15",75263302,76276231
"AXB","AXB.18","17",26673567,26705131
"AXB","AXB.18","17",81281807,83303569
"AXB","AXB.18","18",14699105,14867844
"AXB","AXB.18","2",51103745,51134094
"AXB","AXB.18","3",15892347,15980878
"AXB","AXB.18","3",76619907,77605368
"AXB","AXB.18","3",109485320,109577364
"AXB","AXB.18","4",30349008,30390306
"AXB","AXB.18","4",33857330,34056894
"AXB","AXB.18","4",91022017,91187151
"AXB","AXB.18","4",108876671,108889965
"AXB","AXB.18","4",139464116,141043773
"AXB","AXB.18","5",39818934,39845269
"AXB","AXB.18","7",31205554,31247461
"AXB","AXB.18","7",142012872,144104785
"AXB","AXB.18","X",127469307,128394302
"AXB","AXB.18","X",137629135,137759320
"AXB","AXB.18","X",140079984,140089842
"AXB","AXB.2","1",22064921,22280414
"AXB","AXB.2","1",94229308,94893323
"AXB","AXB.2","1",165237195,169560324
"AXB","AXB.2","10",116860660,116978952
"AXB","AXB.2","13",91150745,91171726
"AXB","AXB.2","15",50226502,50234582
"AXB","AXB.2","15",72897623,74669093
"AXB","AXB.2","15",96536400,96603062
"AXB","AXB.2","15",102353034,102473253
"AXB","AXB.2","16",23467679,26952361
"AXB","AXB.2","16",77577448,77607291
"AXB","AXB.2","16",84753061,84852645
"AXB","AXB.2","17",66710417,66770663
"AXB","AXB.2","17",83992552,84037480
"AXB","AXB.2","17",86079733,86110299
"AXB","AXB.2","18",25856430,26235049
"AXB","AXB.2","18",32036745,32127073
"AXB","AXB.2","18",38161116,38323920
"AXB","AXB.2","18",63382526,63422714
"AXB","AXB.2","18",74082429,74180732
"AXB","AXB.2","19",15196349,15229541
"AXB","AXB.2","19",26824824,26855288
"AXB","AXB.2","19",28816754,32123866
"AXB","AXB.2","19",48030812,48041258
"AXB","AXB.2","19",53588361,53833310
"AXB","AXB.2","19",56958212,57831412
"AXB","AXB.2","2",14316679,18553601
"AXB","AXB.2","2",25483901,25505074
"AXB","AXB.2","2",106892490,106925511
"AXB","AXB.2","2",178741402,178986997
"AXB","AXB.2","3",16634989,16819050
"AXB","AXB.2","3",50960940,52297587
"AXB","AXB.2","3",107021410,108811395
"AXB","AXB.2","4",53963016,54207784
"AXB","AXB.2","4",104580858,105178309
"AXB","AXB.2","4",114489956,114508256
"AXB","AXB.2","4",148725723,148933031
"AXB","AXB.2","5",63448746,63487962
"AXB","AXB.2","5",103823180,103848811
"AXB","AXB.2","5",117917890,117978321
"AXB","AXB.2","5",119257657,119384570
"AXB","AXB.2","5",129762696,129796040
"AXB","AXB.2","6",23561486,23695539
"AXB","AXB.2","6",38804827,43391620
"AXB","AXB.2","7",25242602,27101980
"AXB","AXB.2","7",36766189,36808744
"AXB","AXB.2","7",61134596,61165300
"AXB","AXB.2","7",132349286,132362493
"AXB","AXB.2","8",47379382,50882929
"AXB","AXB.2","8",64284279,64463561
"AXB","AXB.2","8",87908606,87948978
"AXB","AXB.23","1",25428434,25451726
"AXB","AXB.23","1",56225428,59182228
"AXB","AXB.23","1",72526453,72551138
"AXB","AXB.23","1",78968158,78997653
"AXB","AXB.23","1",90058625,90246344
"AXB","AXB.23","1",158633603,158662801
"AXB","AXB.23","1",172957373,172970024
"AXB","AXB.23","1",192944629,193057362
"AXB","AXB.23","10",61590282,66730213
"AXB","AXB.23","10",85688403,85711874
"AXB","AXB.23","11",18347900,18375830
"AXB","AXB.23","12",46209312,47417584
"AXB","AXB.23","12",91589326,91727009
"AXB","AXB.23","12",97343223,101168124
"AXB","AXB.23","14",28136282,28140301
"AXB","AXB.23","15",55701292,60281680
"AXB","AXB.23","15",86802942,87242144
"AXB","AXB.23","16",64201884,64534716
"AXB","AXB.23","16",72549916,72556134
"AXB","AXB.23","16",79614058,79857820
"AXB","AXB.23","17",76240730,76281801
"AXB","AXB.23","18",68299522,68394021
"AXB","AXB.23","18",82547161,83919389
"AXB","AXB.23","2",153812628,153823610
"AXB","AXB.23","2",172534416,172534938
"AXB","AXB.23","2",178675038,178702063
"AXB","AXB.23","3",104862465,104883024
"AXB","AXB.23","4",41352248,41469355
"AXB","AXB.23","4",96196230,97617566
"AXB","AXB.23","5",29072269,31214049
"AXB","AXB.23","5",142672403,144333119
"AXB","AXB.23","7",108802232,108814422
"AXB","AXB.23","7",121750044,124902160
"AXB","AXB.23","7",126614606,126668490
"AXB","AXB.23","7",140353571,141290166
"AXB","AXB.23","7",141329465,141331879
"AXB","AXB.23","8",22999522,23009249
"AXB","AXB.23","8",32190549,32211007
"AXB","AXB.23","8",47379382,50882929
"AXB","AXB.23","8",117068657,117075075
"AXB","AXB.23","9",62660883,63033621
"AXB","AXB.23","9",121354943,121437667
"AXB","AXB.23","X",71134080,71358455
"AXB","AXB.23","X",124831724,126822638
"AXB","AXB.23","X",128909387,129002652
"AXB","AXB.23","X",137250009,137510992
"AXB","AXB.24","1",21589917,21631108
"AXB","AXB.24","1",51426100,51440222
"AXB","AXB.24","1",141217133,141343161
"AXB","AXB.24","1",161574863,161750193
"AXB","AXB.24","10",20076169,20111587
"AXB","AXB.24","10",47370541,57191367
"AXB","AXB.24","10",66730215,67348211
"AXB","AXB.24","10",70729876,72243079
"AXB","AXB.24","10",108194132,110046953
"AXB","AXB.24","10",115358904,115571077
"AXB","AXB.24","11",44405121,44437316
"AXB","AXB.24","11",46172901,46178270
"AXB","AXB.24","12",56184414,57610542
"AXB","AXB.24","13",23951433,30551797
"AXB","AXB.24","13",71644563,71773049
"AXB","AXB.24","13",107715613,108329330
"AXB","AXB.24","14",61890964,62318604
"AXB","AXB.24","14",103031763,105626096
"AXB","AXB.24","14",107176992,111918855
"AXB","AXB.24","14",113152462,113961575
"AXB","AXB.24","15",86802942,87242144
"AXB","AXB.24","16",31403196,31417859
"AXB","AXB.24","16",45681216,45695904
"AXB","AXB.24","16",54901205,56222923
"AXB","AXB.24","16",66149008,66221206
"AXB","AXB.24","16",66898485,67067125
"AXB","AXB.24","17",31870305,31872859
"AXB","AXB.24","18",49484185,49546324
"AXB","AXB.24","19",28816754,32123866
"AXB","AXB.24","19",53863443,53909390
"AXB","AXB.24","2",52425216,52488922
"AXB","AXB.24","2",76329795,79182583
"AXB","AXB.24","3",30655505,30675948
"AXB","AXB.24","3",33788039,33792218
"AXB","AXB.24","4",126807720,126859035
"AXB","AXB.24","4",148725723,148933031
"AXB","AXB.24","6",146368384,146385543
"AXB","AXB.24","8",80473914,83407652
"AXB","AXB.24","8",105261895,105331576
"AXB","AXB.24","9",24593865,27137679
"AXB","AXB.24","9",29752643,32514355
"AXB","AXB.24","9",44478782,44584254
"AXB","AXB.24","9",67320248,67332530
"AXB","AXB.24","9",90372515,90553514
"AXB","AXB.24","9",111334000,111366276
"AXB","AXB.24","9",113233354,113259701
"AXB","AXB.24","X",10112254,36252885
"AXB","AXB.24","X",100855227,102364997
"AXB","AXB.4","1",126591594,126786875
"AXB","AXB.4","1",128545200,128553667
"AXB","AXB.4","1",130689859,134278485
"AXB","AXB.4","10",108032067,108140734
"AXB","AXB.4","10",115358904,115571077
"AXB","AXB.4","10",120050074,120135353
"AXB","AXB.4","11",29217243,29221140
"AXB","AXB.4","11",31399466,31423331
"AXB","AXB.4","11",34407245,34514387
"AXB","AXB.4","11",78569943,81242665
"AXB","AXB.4","11",86907037,86980837
"AXB","AXB.4","11",117246138,117320762
"AXB","AXB.4","12",78097376,78210259
"AXB","AXB.4","12",101811426,103524768
"AXB","AXB.4","13",95913255,95925930
"AXB","AXB.4","13",101027614,101157814
"AXB","AXB.4","13",112170773,112439762
"AXB","AXB.4","14",19817806,25595922
"AXB","AXB.4","14",100094115,100130870
"AXB","AXB.4","15",28251499,29502604
"AXB","AXB.4","15",96871612,97487752
"AXB","AXB.4","15",98124498,98149780
"AXB","AXB.4","15",102043865,102168573
"AXB","AXB.4","17",57425433,66048054
"AXB","AXB.4","17",69740146,70520416
"AXB","AXB.4","18",80282058,80405476
"AXB","AXB.4","18",82547161,83919389
"AXB","AXB.4","19",55163591,55484340
"AXB","AXB.4","19",55605053,55614547
"AXB","AXB.4","2",14316679,18553601
"AXB","AXB.4","3",15892347,15980878
"AXB","AXB.4","3",39927449,39977774
"AXB","AXB.4","3",143232984,143265200
"AXB","AXB.4","3",155760254,156250828
"AXB","AXB.4","4",125576423,125640001
"AXB","AXB.4","4",128529080,129202095
"AXB","AXB.4","5",5365278,5401888
"AXB","AXB.4","5",13397786,13468932
"AXB","AXB.4","5",22349753,24085810
"AXB","AXB.4","5",73999811,74051518
"AXB","AXB.4","6",38804827,43391620
"AXB","AXB.4","6",46600431,46606101
"AXB","AXB.4","6",52148874,52385793
"AXB","AXB.4","6",57060039,61587592
"AXB","AXB.4","6",83882676,84082644
"AXB","AXB.4","7",31205554,31247461
"AXB","AXB.4","7",35285478,35417598
"AXB","AXB.4","7",38244558,38253682
"AXB","AXB.4","9",49353454,49367544
"AXB","AXB.4","9",77887802,77902466
"AXB","AXB.4","9",86198978,86212007
"AXB","AXB.4","9",115009566,115023696
"AXB","AXB.5","1",14725173,15498264
"AXB","AXB.5","1",82040578,82063116
"AXB","AXB.5","10",47370541,57191367
"AXB","AXB.5","10",66730215,67348211
"AXB","AXB.5","10",127241668,127271450
"AXB","AXB.5","11",58886698,58912629
"AXB","AXB.5","11",62861855,62896270
"AXB","AXB.5","11",67158685,67465623
"AXB","AXB.5","11",81418219,82690238
"AXB","AXB.5","13",33993034,34109217
"AXB","AXB.5","13",48215255,52833952
"AXB","AXB.5","13",71644563,71773049
"AXB","AXB.5","13",91494358,91522917
"AXB","AXB.5","13",93534160,93539529
"AXB","AXB.5","13",107715613,108329330
"AXB","AXB.5","14",107176992,111918855
"AXB","AXB.5","15",10267695,10367571
"AXB","AXB.5","15",76453390,76477212
"AXB","AXB.5","15",96871612,97487752
"AXB","AXB.5","15",99176245,99222293
"AXB","AXB.5","16",9769055,9778095
"AXB","AXB.5","16",27062968,28278473
"AXB","AXB.5","16",30371088,30397319
"AXB","AXB.5","16",87025625,87083469
"AXB","AXB.5","17",69740146,70520416
"AXB","AXB.5","18",55343592,55373639
"AXB","AXB.5","19",38242987,38252609
"AXB","AXB.5","2",5287349,6963883
"AXB","AXB.5","2",8883900,8919146
"AXB","AXB.5","2",35053517,35957195
"AXB","AXB.5","2",40655611,40674111
"AXB","AXB.5","2",147386581,147394173
"AXB","AXB.5","2",179458659,179548346
"AXB","AXB.5","3",39314933,39364182
"AXB","AXB.5","3",104200972,104229007
"AXB","AXB.5","4",58338024,58358370
"AXB","AXB.5","4",100395106,100400090
"AXB","AXB.5","4",117582102,117606144
"AXB","AXB.5","5",34263859,34304979
"AXB","AXB.5","5",68073981,72655709
"AXB","AXB.5","5",91323872,97022069
"AXB","AXB.5","6",25653133,28681138
"AXB","AXB.5","7",89509998,89541704
"AXB","AXB.5","7",96564961,96740694
"AXB","AXB.5","7",131188453,131220527
"AXB","AXB.5","8",25492839,25562591
"AXB","AXB.5","9",40859462,40893488
"AXB","AXB.5","X",48083715,48465401
"AXB","AXB.5","X",50280759,50380223
"AXB","AXB.5","X",58407935,58756119
"AXB","AXB.5","X",93259518,93917493
"AXB","AXB.6","10",12164363,12167398
"AXB","AXB.6","10",47370541,57191367
"AXB","AXB.6","11",70437651,71644165
"AXB","AXB.6","11",78569943,81242665
"AXB","AXB.6","11",109280149,110023547
"AXB","AXB.6","12",26091634,26097745
"AXB","AXB.6","12",29263189,29266903
"AXB","AXB.6","12",32304164,32321340
"AXB","AXB.6","12",110285229,110327669
"AXB","AXB.6","13",56895385,56913149
"AXB","AXB.6","13",99443501,99454491
"AXB","AXB.6","13",113237636,113281791
"AXB","AXB.6","14",61890964,62318604
"AXB","AXB.6","15",87819379,87911734
"AXB","AXB.6","17",33163528,33170561
"AXB","AXB.6","17",51634998,51848322
"AXB","AXB.6","17",67934703,68057188
"AXB","AXB.6","17",81281807,83303569
"AXB","AXB.6","17",84102541,84151799
"AXB","AXB.6","18",58265304,58291009
"AXB","AXB.6","19",22364455,22372249
"AXB","AXB.6","2",161278835,161516665
"AXB","AXB.6","3",52771279,56453517
"AXB","AXB.6","4",41352248,41469355
"AXB","AXB.6","4",69658651,74457108
"AXB","AXB.6","4",139464116,141043773
"AXB","AXB.6","4",142498752,142590891
"AXB","AXB.6","4",151054672,151183031
"AXB","AXB.6","5",97784080,97800514
"AXB","AXB.6","5",139209084,140042635
"AXB","AXB.6","8",11361555,14481189
"AXB","AXB.6","8",110489071,110523305
"AXB","AXB.6","9",111238430,111316026
"AXB","AXB.6","X",68169133,68201672
"AXB","AXB.6","X",139322784,139347936
"AXB","AXB.8","1",29125235,29156448
"AXB","AXB.8","1",30903420,30920542
"AXB","AXB.8","1",35197712,35207657
"AXB","AXB.8","1",40860594,40883163
"AXB","AXB.8","1",41118426,41230355
"AXB","AXB.8","1",78602782,78617927
"AXB","AXB.8","1",120725183,120746906
"AXB","AXB.8","1",130689859,134278485
"AXB","AXB.8","1",169907835,170049825
"AXB","AXB.8","1",185402042,185448812
"AXB","AXB.8","10",47370541,57191367
"AXB","AXB.8","10",115571079,116769446
"AXB","AXB.8","10",120019633,120025352
"AXB","AXB.8","11",96884500,96897476
"AXB","AXB.8","11",116889359,117023348
"AXB","AXB.8","11",117525150,117547030
"AXB","AXB.8","12",72827188,72901598
"AXB","AXB.8","13",60470641,60517114
"AXB","AXB.8","13",84122885,84544503
"AXB","AXB.8","13",101899486,102000653
"AXB","AXB.8","13",103915606,104020651
"AXB","AXB.8","13",107715613,108329330
"AXB","AXB.8","14",19817806,25595922
"AXB","AXB.8","15",28251499,29502604
"AXB","AXB.8","15",98880702,98895484
"AXB","AXB.8","15",102502507,102963537
"AXB","AXB.8","16",77607293,78059222
"AXB","AXB.8","17",6164805,6928090
"AXB","AXB.8","17",25003174,25020236
"AXB","AXB.8","18",16818972,21513653
"AXB","AXB.8","18",41860003,41888361
"AXB","AXB.8","18",43132919,43290986
"AXB","AXB.8","18",81684597,82307908
"AXB","AXB.8","19",6225435,8884935
"AXB","AXB.8","19",44223056,44236905
"AXB","AXB.8","2",14316679,18553601
"AXB","AXB.8","2",102491331,102500536
"AXB","AXB.8","2",116302452,116547768
"AXB","AXB.8","2",147686658,147844824
"AXB","AXB.8","2",166150035,168096953
"AXB","AXB.8","3",35428335,35594859
"AXB","AXB.8","3",52771279,56453517
"AXB","AXB.8","3",111845989,111864346
"AXB","AXB.8","4",103285413,103374183
"AXB","AXB.8","5",14324879,20266752
"AXB","AXB.8","5",22349753,24085810
"AXB","AXB.8","5",65220143,65436810
"AXB","AXB.8","5",147657198,147753984
"AXB","AXB.8","6",14310523,16009390
"AXB","AXB.8","6",144944666,144947494
"AXB","AXB.8","7",127290665,127295265
"AXB","AXB.8","7",139084707,139399791
"AXB","AXB.8","8",25406374,25489898
"AXB","AXB.8","8",119091850,120564070
"AXB","AXB.8","9",77335409,77344169
"AXB","AXB.8","X",54016144,55093918
"AXB","AXB.8","X",98380804,98902982
"AXB","BXA..17","1",25588284,25669735
"AXB","BXA..17","1",72526453,72551138
"AXB","BXA..17","1",78167566,78220392
"AXB","BXA..17","1",110568245,110615671
"AXB","BXA..17","1",150706919,150958684
"AXB","BXA..17","1",179271953,179287942
"AXB","BXA..17","1",194254185,194265956
"AXB","BXA..17","10",110500044,111849278
"AXB","BXA..17","10",120019633,120025352
"AXB","BXA..17","10",121956283,121985021
"AXB","BXA..17","10",126172486,126762878
"AXB","BXA..17","10",127730126,127787557
"AXB","BXA..17","11",11285643,11404249
"AXB","BXA..17","11",37318289,37478356
"AXB","BXA..17","11",78569943,81242665
"AXB","BXA..17","12",36766606,36799176
"AXB","BXA..17","12",59034908,59056312
"AXB","BXA..17","12",95616425,95761138
"AXB","BXA..17","12",106303362,107636042
"AXB","BXA..17","13",5665389,13194970
"AXB","BXA..17","13",17513708,17604657
"AXB","BXA..17","13",38270716,38297360
"AXB","BXA..17","13",39899434,40066116
"AXB","BXA..17","13",71235850,71378175
"AXB","BXA..17","13",112170773,112439762
"AXB","BXA..17","14",19817806,25595922
"AXB","BXA..17","14",92747931,92770820
"AXB","BXA..17","14",94567975,94625128
"AXB","BXA..17","14",103031763,105626096
"AXB","BXA..17","15",34706202,34877149
"AXB","BXA..17","15",55701292,60281680
"AXB","BXA..17","15",67806801,69461839
"AXB","BXA..17","15",94975462,95004097
"AXB","BXA..17","16",45681216,45695904
"AXB","BXA..17","16",60005065,60035304
"AXB","BXA..17","16",81106489,82311386
"AXB","BXA..17","17",4709087,6019082
"AXB","BXA..17","17",32909952,32922369
"AXB","BXA..17","17",37278023,41174120
"AXB","BXA..17","17",55425357,55433685
"AXB","BXA..17","17",57425433,66048054
"AXB","BXA..17","17",69392719,69663633
